"Russell/Nomura “ú–{Š”ƒCƒ“ƒfƒbƒNƒX ŒŸw”’l (”z“–ŠÜ‚Ş), ‰~ƒx[ƒX"
¦ Prime:1996”N12Œ––=1000ASmall CoreAMicro:1999”N12Œ––=100A‚»‚êˆÈŠOF1979”N12Œ––=100
DATE,Total Market,Total Market Value,Total Market Growth,Large,Large Value,Large Growth,Top,Top Value,Top Growth,Mid,Mid Value,Mid Growth,Mid-Small,Mid-Small Value,Mid-Small Growth,Small,Small Value,Small Growth,Small Core,Small Core Value,Small Core Growth,Micro,Micro Value,Micro Growth,Prime,Prime Value,Prime Growth
198301,134.50,147.21,122.33,138.13,151.54,124.77,143.80,165.76,122.26,131.18,133.25,128.65,126.63,129.60,124.02,116.26,122.35,111.40,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198302,135.74,149.20,122.91,139.27,153.52,125.21,144.87,167.60,122.75,132.40,135.36,129.03,128.01,131.66,124.71,118.01,124.31,112.92,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198303,142.83,156.96,129.36,146.48,161.54,131.64,151.69,175.32,128.65,140.13,143.57,136.27,135.37,139.25,131.87,124.49,130.61,119.80,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198304,146.50,159.41,134.01,149.75,163.35,135.99,154.62,177.24,132.14,143.86,145.25,141.92,139.72,142.02,137.87,130.28,135.60,126.78,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198305,147.75,157.12,138.22,150.66,160.34,139.97,153.70,172.77,133.71,147.12,143.89,149.53,142.92,141.40,145.05,133.32,136.45,132.75,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198306,152.47,160.10,144.35,155.91,163.63,146.64,159.93,176.92,141.10,151.12,146.18,155.13,146.32,143.43,149.88,135.33,137.95,135.48,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198307,155.04,162.07,147.40,157.65,164.57,148.97,160.35,176.65,142.00,154.54,148.44,159.62,150.81,147.00,155.34,142.27,144.12,143.59,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198308,158.38,164.90,151.12,160.59,166.96,152.29,161.11,177.82,142.42,160.30,152.13,167.32,156.47,150.98,162.77,147.69,148.71,150.25,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198309,162.26,169.40,154.45,165.18,172.30,156.20,168.65,185.91,149.25,161.14,154.35,166.86,157.12,152.70,162.32,147.87,149.43,149.72,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198310,160.82,169.69,151.57,163.30,172.15,153.01,166.20,185.74,145.35,159.97,154.22,164.72,156.54,153.32,160.51,148.67,151.54,148.83,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198311,161.15,168.22,153.41,163.18,170.05,154.43,165.52,182.42,146.51,160.55,153.50,166.52,157.78,153.24,163.11,151.43,152.73,153.70,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198312,172.30,180.15,163.77,175.09,183.08,165.23,178.88,198.69,157.28,170.66,162.73,177.40,167.00,161.69,173.16,158.62,159.61,161.47,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198401,180.13,187.89,171.64,182.87,190.96,172.80,186.05,206.52,163.69,179.27,170.57,186.77,175.44,169.29,182.19,166.76,166.39,171.44,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198402,178.44,187.14,169.04,180.44,189.70,169.29,180.90,202.71,157.56,180.43,172.25,187.32,176.91,170.99,183.40,168.94,168.11,174.20,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198403,196.62,209.47,183.10,200.66,214.72,184.68,201.57,229.72,172.31,200.12,194.65,203.68,192.90,189.14,196.90,176.53,176.62,180.92,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198404,195.06,209.15,180.35,198.72,213.80,181.79,197.89,225.26,169.38,200.47,197.81,200.86,193.27,192.12,194.28,176.97,179.20,178.86,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198405,176.24,190.81,161.17,178.61,193.89,161.76,176.12,202.67,148.91,182.49,181.22,181.52,177.06,177.52,176.26,164.80,169.12,163.95,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198406,180.77,195.74,165.29,183.32,198.66,166.35,180.34,206.46,153.37,187.85,187.06,186.29,181.90,183.27,180.06,168.44,174.67,165.48,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198407,174.13,188.92,158.85,175.73,190.69,159.24,172.49,197.92,146.33,180.59,179.84,179.08,176.32,177.95,174.20,166.68,173.66,162.80,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198408,186.69,198.01,174.68,188.60,200.28,175.03,186.02,210.34,160.40,192.63,186.06,197.51,188.05,184.21,192.12,177.70,180.01,179.50,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198409,189.12,197.61,179.83,191.36,200.38,180.26,189.38,210.94,165.97,194.60,185.58,202.23,189.62,183.00,196.85,178.40,177.19,184.31,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198410,196.20,205.97,185.63,198.45,208.63,186.15,194.66,217.85,169.75,204.08,195.25,211.37,198.37,192.34,204.92,185.49,185.80,189.83,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198411,197.33,213.03,181.09,198.78,215.26,180.60,191.87,219.56,163.31,208.53,207.40,207.17,203.05,203.47,202.35,190.75,194.62,191.11,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198412,204.59,224.40,184.38,207.29,228.39,184.66,203.17,236.52,169.59,213.40,215.99,207.83,206.67,210.20,202.46,191.55,197.16,189.92,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198501,208.61,227.84,188.80,210.74,230.80,188.86,204.46,235.69,172.25,219.93,222.15,214.66,213.05,216.84,208.64,198.52,205.33,195.82,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198502,215.20,234.17,195.48,218.05,237.87,196.17,212.00,242.01,180.23,226.92,230.01,220.67,218.73,223.05,213.78,201.44,207.94,199.13,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198503,220.49,243.29,197.53,223.55,246.80,198.76,216.97,248.86,183.65,233.18,241.26,221.74,224.34,233.78,214.18,205.71,217.58,198.12,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198504,215.00,237.54,192.36,217.12,239.66,193.07,209.78,240.98,177.32,227.81,235.10,217.27,220.48,229.85,210.39,205.01,218.50,195.78,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198505,220.66,251.01,191.49,223.12,253.63,192.50,215.62,251.86,179.41,234.04,252.50,212.07,225.98,245.13,206.00,208.96,229.16,193.12,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198506,226.50,260.83,193.95,229.23,263.69,195.27,222.40,261.03,184.20,239.20,263.47,211.25,230.92,255.25,205.70,213.45,237.47,193.90,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198507,218.34,259.51,180.34,219.60,260.20,180.99,209.04,248.06,171.29,234.87,271.10,194.82,227.75,263.27,191.23,212.73,246.35,183.60,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198508,224.81,269.37,183.89,225.94,270.23,184.19,212.86,256.18,171.98,244.80,283.25,202.36,236.76,274.30,198.19,219.85,254.99,189.35,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198509,230.07,283.23,181.99,231.61,285.43,182.04,218.97,271.81,171.29,249.84,297.76,197.70,241.23,286.48,194.85,223.09,262.07,188.81,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198510,230.11,272.61,190.81,232.08,274.97,191.30,221.15,267.30,177.90,247.90,280.52,211.43,239.23,271.25,206.30,220.94,251.15,195.41,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198511,226.78,265.76,190.44,227.27,266.21,189.81,214.58,257.48,173.91,245.56,273.11,214.29,238.97,266.90,210.20,225.10,253.46,201.51,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198512,236.07,275.93,198.84,238.09,277.86,199.68,228.83,273.53,186.17,251.58,279.52,219.85,243.56,272.20,214.05,226.66,256.34,201.77,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198601,236.25,274.06,200.40,236.64,273.88,200.03,226.48,269.69,184.87,251.42,275.43,223.02,245.89,272.34,218.12,234.81,265.20,209.27,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198602,247.64,292.10,206.80,247.51,290.29,206.59,235.31,278.85,192.87,265.22,300.29,227.01,259.73,297.41,222.79,248.75,290.78,215.17,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198603,287.21,345.70,235.20,293.02,350.50,239.92,286.33,344.66,231.54,302.91,353.06,250.73,288.45,339.83,239.97,259.40,309.15,220.45,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198604,287.02,340.62,238.30,290.83,343.78,240.94,282.39,342.66,226.74,303.21,340.80,261.66,291.74,332.27,251.66,268.89,312.53,233.73,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198605,297.66,357.38,244.36,300.76,359.47,246.45,289.10,353.31,230.65,317.75,362.30,269.84,306.13,353.78,260.08,282.99,334.07,242.60,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198606,311.79,378.45,253.21,313.83,379.08,254.43,299.48,364.15,240.02,334.67,392.06,275.33,323.85,382.90,268.40,302.30,361.70,255.97,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198607,327.69,391.62,270.23,334.85,395.92,277.34,330.21,381.84,276.24,341.88,407.68,275.17,325.69,392.09,264.44,293.42,356.03,245.21,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198608,355.35,432.41,287.85,369.36,445.70,299.76,373.81,445.08,305.18,363.45,440.93,286.13,338.24,413.53,269.68,288.02,350.16,240.24,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198609,351.96,429.46,284.32,370.87,448.50,300.32,391.15,471.20,316.11,342.42,416.11,268.99,315.27,386.72,250.36,260.96,318.48,216.87,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198610,325.26,386.55,269.71,339.12,399.10,282.17,349.08,411.28,287.58,325.30,379.76,268.76,303.11,358.72,250.92,258.65,309.76,218.83,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198611,348.15,417.61,286.10,362.11,430.00,298.65,367.90,435.84,301.67,354.24,417.77,289.06,329.89,394.55,269.86,281.16,340.54,235.36,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198612,357.92,430.17,293.56,374.96,445.48,309.11,388.33,462.06,317.23,356.30,420.35,290.63,329.49,395.58,268.36,275.99,337.99,228.60,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198701,388.24,474.01,313.67,409.13,493.23,332.84,425.14,501.28,349.59,386.69,476.79,297.84,353.64,438.76,275.73,287.53,362.59,228.66,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198702,399.78,478.21,329.35,422.82,497.78,351.39,441.34,500.93,372.62,396.75,486.67,307.75,360.71,446.19,282.39,288.54,365.03,228.40,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198703,408.02,500.52,328.13,430.98,520.83,349.84,445.47,515.64,371.11,410.80,518.55,306.14,372.99,473.43,281.51,297.20,382.78,229.09,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198704,442.93,549.12,352.51,470.75,574.87,378.42,488.90,569.97,405.28,445.32,571.45,323.89,399.76,516.34,293.95,308.39,405.44,230.25,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198705,461.04,581.45,360.58,484.80,603.50,382.61,491.80,591.64,398.56,475.65,607.29,348.59,432.73,555.49,321.18,346.60,451.16,262.86,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198706,444.99,570.81,341.86,462.30,585.32,358.76,457.30,570.62,360.38,470.58,592.50,351.98,434.54,552.81,326.87,362.27,472.88,273.56,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198707,443.33,568.70,340.57,457.25,578.61,355.04,450.34,568.22,351.76,468.29,581.15,357.50,437.98,550.95,334.89,377.30,490.25,286.94,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198708,472.41,602.61,365.09,486.51,610.86,380.72,478.33,585.61,382.57,499.45,629.22,373.27,468.19,595.87,351.97,405.64,528.86,306.88,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198709,473.86,618.30,357.31,488.19,629.40,371.83,483.44,622.94,371.12,496.15,626.83,369.29,466.06,595.16,348.64,405.96,531.60,305.02,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198710,424.34,552.76,320.57,435.58,559.01,333.35,431.75,541.16,339.06,442.08,570.05,319.18,418.47,543.61,305.04,371.37,490.57,275.19,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198711,407.61,535.43,305.05,417.21,540.26,316.28,410.69,523.70,318.01,427.59,550.17,309.74,405.88,526.94,296.13,362.57,480.31,267.45,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198712,382.01,509.55,280.88,386.82,509.44,287.91,371.31,486.03,281.18,410.18,527.37,297.47,393.51,510.56,287.39,360.28,476.82,266.17,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198801,424.48,568.02,311.05,430.12,568.53,318.96,415.86,544.19,314.99,451.54,586.36,323.23,433.60,567.24,313.34,398.92,528.76,294.15,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198802,459.10,613.86,336.70,465.67,615.26,345.46,451.72,586.21,344.56,486.59,637.86,343.96,466.97,614.52,334.87,429.15,567.65,317.28,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198803,477.41,645.74,345.87,485.86,650.22,355.71,475.16,628.67,356.54,501.84,662.98,351.01,480.18,636.68,340.90,438.45,583.93,321.36,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198804,491.39,668.84,353.57,497.05,669.35,361.53,480.99,641.28,358.51,521.17,689.68,363.68,502.26,667.39,355.56,465.97,622.90,339.89,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198805,478.73,662.35,338.24,478.88,654.70,342.69,455.84,617.12,335.14,513.64,686.92,353.16,502.07,675.49,349.42,479.91,652.70,342.21,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198806,492.36,694.62,340.09,494.25,691.53,344.60,472.68,661.02,337.11,526.78,714.40,354.98,512.50,697.17,351.17,485.18,662.86,343.86,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198807,508.02,726.84,345.02,516.72,736.07,352.73,511.08,744.10,349.98,525.07,711.17,354.49,505.53,687.09,346.82,468.13,639.16,332.06,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198808,481.80,688.12,327.92,487.14,691.67,333.84,471.74,679.68,326.58,510.33,692.10,343.88,492.38,670.62,336.78,458.01,627.82,323.14,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198809,490.27,715.39,324.83,498.71,725.49,331.73,486.17,721.41,326.16,517.55,715.56,338.75,494.90,685.17,330.48,451.58,624.65,314.60,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198810,490.71,720.85,322.32,500.89,732.57,330.92,490.85,723.88,331.53,515.93,728.10,326.84,491.15,692.94,318.60,443.69,622.71,302.77,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198811,518.57,759.39,342.02,528.56,770.18,350.86,520.54,766.56,352.13,540.56,758.79,345.42,517.24,726.78,337.66,472.54,662.76,322.77,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198812,533.22,773.83,355.76,544.82,785.34,366.58,534.35,768.47,370.64,560.48,789.70,355.99,532.72,750.84,346.08,479.48,673.15,327.06,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198901,560.56,818.72,371.62,568.65,823.77,380.78,554.52,798.68,384.15,590.00,837.70,371.23,567.12,805.38,365.15,523.91,743.05,353.16,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198902,558.27,831.48,362.73,567.60,841.61,371.29,549.99,815.72,371.51,594.37,856.16,367.27,567.13,814.09,360.34,515.65,733.01,346.65,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198903,564.39,847.20,363.66,571.80,855.24,370.69,539.15,814.10,358.34,621.90,888.78,388.13,590.42,843.65,377.28,530.98,756.70,355.89,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198904,570.54,856.21,367.73,574.43,858.17,372.84,536.65,807.34,357.90,632.46,903.89,394.71,605.34,865.49,386.53,554.09,791.38,370.40,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198905,580.33,876.26,371.57,581.92,876.15,374.61,543.71,831.37,357.16,640.61,913.86,400.71,617.89,881.50,395.62,574.98,819.06,385.58,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198906,558.82,843.15,358.10,557.67,839.17,359.20,515.99,792.13,337.67,621.71,880.51,392.41,602.57,854.66,388.61,566.56,804.80,381.20,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198907,599.66,903.58,384.81,600.45,901.48,387.70,558.64,847.64,369.63,664.67,950.04,414.74,641.63,916.98,409.98,598.30,853.20,400.71,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198908,591.28,894.74,377.68,585.93,884.97,375.92,534.82,821.00,350.00,664.49,946.58,416.39,648.73,923.14,416.74,619.14,877.94,417.43,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198909,618.07,945.62,390.02,606.65,925.70,384.90,544.22,839.31,354.58,702.60,1014.49,432.76,692.98,999.00,438.04,674.92,969.12,448.32,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198910,618.82,953.46,387.41,608.01,934.89,382.49,545.14,852.12,350.55,704.62,1018.99,433.13,693.55,1002.46,436.96,672.84,970.69,444.39,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198911,650.00,998.41,408.36,639.70,978.08,404.97,578.87,890.75,377.97,733.24,1066.97,447.07,722.27,1050.96,451.19,701.77,1020.21,459.16,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
